Time,SpO2,PULSE,PI,Note
2020-09-23 05:56:33,98%,61Beats/Min,5.3,
2020-09-22 06:57:23,99%,74Beats/Min,4.0,
2020-09-21 06:16:30,98%,64Beats/Min,5.2,
2020-09-20 06:59:35,97%,56Beats/Min,2.4,
2020-09-19 06:27:23,99%,76Beats/Min,2.6,
2020-09-18 05:40:35,99%,64Beats/Min,5.4,
2020-09-17 05:24:44,98%,59Beats/Min,7.2,
2020-09-16 06:35:10,98%,74Beats/Min,4.6,
2020-09-15 05:52:19,98%,66Beats/Min,9.1,
2020-09-14 06:44:19,98%,74Beats/Min,3.8,
2020-09-13 07:18:03,98%,57Beats/Min,4.7,
2020-09-12 06:17:26,99%,74Beats/Min,2.7,
2020-09-11 06:36:19,98%,66Beats/Min,3.7,
2020-09-10 05:58:02,98%,78Beats/Min,4.5,
2020-09-09 05:46:19,98%,75Beats/Min,5.1,
2020-09-08 05:58:06,98%,70Beats/Min,8.6,
2020-09-07 07:03:07,98%,63Beats/Min,3.3,
2020-09-06 06:26:59,98%,65Beats/Min,3.1,
2020-09-05 05:33:35,98%,49Beats/Min,2.5,
2020-09-04 06:14:57,98%,76Beats/Min,3.9,
2020-09-03 05:37:50,98%,68Beats/Min,2.5,
2020-09-02 06:01:38,98%,60Beats/Min,2.0,
2020-09-01 04:43:06,98%,59Beats/Min,8.8,
2020-08-31 06:45:06,98%,59Beats/Min,4.5,
2020-08-30 07:29:32,99%,75Beats/Min,2.5,
2020-08-29 05:18:44,97%,66Beats/Min,6.1,
2020-08-29 05:18:26,94%,72Beats/Min,4.1,
2020-08-28 07:18:31,98%,90Beats/Min,3.3,
2020-08-26 05:28:41,98%,54Beats/Min,6.8,
2020-08-25 07:23:17,98%,59Beats/Min,3.4,
2020-08-24 06:18:27,99%,61Beats/Min,2.3,
2020-08-23 05:36:36,98%,70Beats/Min,3.2,
2020-08-22 04:03:25,97%,61Beats/Min,5.6,
2020-08-21 06:07:59,98%,59Beats/Min,8.1,
2020-08-20 05:52:00,97%,69Beats/Min,6.1,
2020-08-19 04:54:43,99%,64Beats/Min,3.4,
2020-08-18 05:52:21,98%,61Beats/Min,11.3,
2020-08-17 05:00:40,98%,63Beats/Min,6.4,
2020-08-16 05:53:15,98%,57Beats/Min,5.5,
2020-08-15 05:26:01,98%,72Beats/Min,4.8,
2020-08-14 06:16:45,98%,61Beats/Min,4.6,
2020-08-13 05:05:04,97%,69Beats/Min,5.8,
2020-08-12 05:20:30,98%,74Beats/Min,9.9,
2020-08-11 06:24:08,97%,83Beats/Min,10.7,
2020-08-10 07:03:59,96%,73Beats/Min,3.1,
2020-08-09 06:15:56,98%,64Beats/Min,15.9,
2020-08-08 05:55:35,97%,63Beats/Min,16.9,
2020-08-07 05:49:37,97%,54Beats/Min,8.7,
2020-08-06 06:01:54,98%,55Beats/Min,7.9,
2020-08-05 20:00:42,97%,64Beats/Min,5.2,
2020-08-05 20:00:16,97%,72Beats/Min,95.4,
2020-08-05 07:09:20,97%,56Beats/Min,7.2,
2020-08-04 12:12:27,99%,64Beats/Min,2.4,
2020-08-04 07:06:42,98%,54Beats/Min,4.5,
2020-08-03 18:59:41,97%,80Beats/Min,6.8,
2020-08-03 07:19:04,98%,68Beats/Min,7.5,
2020-08-02 07:14:26,97%,49Beats/Min,6.3,
2020-08-02 07:13:35,96%,54Beats/Min,10.2,
2020-08-01 07:32:56,95%,67Beats/Min,9.3,
2020-07-31 07:47:23,95%,67Beats/Min,12.6,
2020-07-29 07:38:53,97%,58Beats/Min,14.7,
2020-07-29 07:35:17,97%,54Beats/Min,10.4,
2020-07-26 12:00:20,95%,83Beats/Min,3.3,
2020-07-26 08:43:38,95%,73Beats/Min,10.6,
2020-07-24 06:40:08,98%,67Beats/Min,5.0,
2020-07-23 07:53:00,97%,71Beats/Min,5.8,
2020-07-20 06:49:43,96%,51Beats/Min,10.7,
2020-07-19 09:15:19,97%,61Beats/Min,13.4,
2020-07-18 06:03:32,97%,74Beats/Min,9.5,
2020-07-17 06:27:07,96%,65Beats/Min,8.4,
2020-07-14 07:59:29,97%,66Beats/Min,10.6,
2020-07-09 06:08:16,99%,58Beats/Min,2.0,
2020-07-08 07:04:04,98%,59Beats/Min,2.6,
2020-07-07 06:31:39,97%,94Beats/Min,3.5,
2020-07-06 10:50:16,99%,84Beats/Min,1.2,
2020-07-05 07:11:32,97%,79Beats/Min,6.6,
2020-07-04 08:57:23,98%,62Beats/Min,4.0,
2020-07-03 07:34:03,98%,76Beats/Min,3.3,
2020-07-02 07:04:13,98%,65Beats/Min,5.1,
2020-06-30 07:35:55,99%,61Beats/Min,3.2,
2020-06-29 06:52:49,98%,65Beats/Min,18.0,
2020-06-20 08:04:33,97%,97Beats/Min,4.3,
2020-06-01 07:32:04,97%,75Beats/Min,11.8,
2020-05-31 09:25:40,95%,73Beats/Min,13.9,
2020-05-31 09:25:15,93%,72Beats/Min,9.3,
2020-05-28 07:02:00,97%,81Beats/Min,12.3,
2020-05-27 19:06:55,96%,69Beats/Min,16.0,
2020-05-26 21:36:31,96%,51Beats/Min,14.7,
2020-05-25 08:16:44,96%,133Beats/Min,14.6,
2020-05-24 21:08:10,97%,69Beats/Min,15.7,
2020-05-24 19:21:54,96%,67Beats/Min,12.1,
2020-05-24 08:33:24,96%,63Beats/Min,17.5,
2020-05-21 07:07:33,96%,68Beats/Min,18.4,
2020-05-20 07:58:32,97%,71Beats/Min,10.8,
2020-05-19 20:22:59,95%,85Beats/Min,15.0,
2020-05-19 20:22:41,94%,95Beats/Min,98.7,
2020-05-19 07:19:48,97%,65Beats/Min,10.3,
2020-05-18 08:04:03,97%,71Beats/Min,9.0,
2020-05-17 10:05:45,96%,59Beats/Min,5.5,
2020-05-16 15:40:43,97%,67Beats/Min,5.2,
2020-05-15 19:28:27,97%,54Beats/Min,10.0,
2020-05-15 07:25:31,97%,66Beats/Min,10.4,
2020-05-14 19:42:13,97%,64Beats/Min,7.9,
2020-05-14 06:53:52,96%,69Beats/Min,14.2,
2020-05-13 21:44:10,97%,68Beats/Min,9.6,
2020-05-11 18:13:40,96%,54Beats/Min,5.7,
2020-05-11 06:29:09,94%,60Beats/Min,7.7,
2020-05-10 11:32:45,96%,72Beats/Min,11.7,
2020-05-10 07:45:49,97%,69Beats/Min,15.6,
2020-05-10 07:45:05,97%,67Beats/Min,10.5,
2020-05-09 21:09:32,97%,57Beats/Min,16.6,
2020-05-09 06:06:06,96%,57Beats/Min,5.3,
2020-05-08 19:13:18,96%,73Beats/Min,14.7,
2020-05-08 09:26:19,94%,68Beats/Min,11.9,
2020-05-07 18:52:39,96%,56Beats/Min,11.5,
2020-05-07 06:56:54,96%,67Beats/Min,10.1,
2020-05-07 06:56:13,94%,67Beats/Min,7.4,
2020-05-07 06:54:48,94%,74Beats/Min,4.7,
2020-05-07 06:54:25,93%,69Beats/Min,4.5,
2020-05-04 19:34:42,97%,61Beats/Min,16.6,
2020-05-04 05:40:29,97%,61Beats/Min,10.8,
2020-05-03 07:35:21,97%,72Beats/Min,3.6,
2020-05-02 17:51:04,97%,60Beats/Min,8.1,
2020-04-27 21:00:53,97%,52Beats/Min,9.1,
2020-04-27 20:59:12,95%,55Beats/Min,6.6,
2020-04-24 21:00:57,98%,52Beats/Min,9.2,
2020-04-23 21:38:18,98%,72Beats/Min,8.1,
2020-04-22 19:02:08,99%,54Beats/Min,7.2,
2020-04-22 06:37:37,98%,52Beats/Min,3.3,
2020-04-21 09:36:31,98%,68Beats/Min,1.6,
2020-04-17 18:37:12,97%,87Beats/Min,11.1,
2020-04-15 19:29:15,95%,67Beats/Min,19.6,
2020-04-13 06:47:56,98%,63Beats/Min,9.6,
2020-04-12 19:58:46,96%,68Beats/Min,7.9,
2020-04-10 19:05:03,97%,60Beats/Min,7.6,
2020-04-10 19:04:33,93%,84Beats/Min,6.0,
2020-04-10 04:56:30,98%,59Beats/Min,5.4,
2020-04-09 09:10:04,97%,70Beats/Min,10.5,
2020-04-07 20:35:27,97%,60Beats/Min,9.9,
2020-04-06 23:04:09,99%,58Beats/Min,5.0,
2020-04-05 19:18:10,98%,67Beats/Min,2.0,
2020-04-03 19:29:32,99%,68Beats/Min,2.2,
2020-03-30 08:01:55,98%,59Beats/Min,8.6,
2020-03-28 13:12:30,97%,52Beats/Min,10.2,
2020-03-27 18:51:02,97%,64Beats/Min,12.0,
2020-03-26 18:41:14,98%,78Beats/Min,7.8,
2020-03-26 16:51:09,96%,77Beats/Min,11.0,
2020-03-24 07:16:22,97%,58Beats/Min,4.5,
2020-03-22 08:27:20,99%,65Beats/Min,6.7,
2020-03-20 07:02:49,98%,84Beats/Min,16.0,
2020-03-19 07:24:33,98%,65Beats/Min,5.9,
2020-03-18 16:55:16,99%,67Beats/Min,3.3,
2020-03-18 06:54:29,99%,78Beats/Min,2.3,
2020-03-15 06:49:04,99%,74Beats/Min,7.6,
2020-03-14 08:09:29,99%,101Beats/Min,2.9,
2020-03-13 16:05:26,97%,68Beats/Min,3.3,
2020-03-13 06:32:33,98%,65Beats/Min,2.7,
2020-03-12 19:26:47,97%,63Beats/Min,22.5,
2020-03-09 06:53:56,99%,65Beats/Min,1.0,
2020-03-07 06:51:28,99%,69Beats/Min,1.2,
2020-03-06 12:47:56,96%,66Beats/Min,4.7,
2020-03-04 06:54:32,99%,78Beats/Min,1.0,
2020-03-03 18:49:43,96%,66Beats/Min,8.2,
2020-03-02 20:27:19,96%,73Beats/Min,10.2,
2020-03-01 19:30:08,96%,77Beats/Min,10.9,
2020-03-01 08:45:42,98%,63Beats/Min,4.9,
2020-02-29 18:40:38,98%,56Beats/Min,6.6,
2020-02-29 07:53:49,95%,66Beats/Min,16.3,
2020-02-28 08:00:49,99%,54Beats/Min,1.2,
2020-02-28 08:00:32,98%,63Beats/Min,5.5,
2020-02-27 20:11:35,97%,63Beats/Min,15.9,
2020-02-27 07:11:03,98%,84Beats/Min,5.1,
2020-02-26 06:44:39,99%,55Beats/Min,1.8,
2020-02-25 20:04:38,96%,79Beats/Min,12.1,
2020-02-24 21:31:26,96%,61Beats/Min,12.6,
2020-02-23 18:15:26,96%,80Beats/Min,8.6,
2020-02-23 12:26:56,96%,66Beats/Min,20.8,
2020-02-22 07:06:08,97%,57Beats/Min,5.7,
